2485793,1SDA080825R1
888888,1SDA072616R1
2586708,1SDA072615R1
888888,1SDA072613R1
888888,1SDA072614R1
2587013,1SDA072612R1
888888,1SDA072611R1
888888,1SDA071266R1
2586927,1SDA071265R1
888888,1SDA071263R1
888888,1SDA071264R1
2586910,1SDA071262R1
888888,1SDA071261R1
2586806,1SDA073505R1
2586800,1SDA073176R1
888888,1SDA073173R1
2586964,1SDA073175R1
888888,1SDA073174R1
888888,1SDA073172R1
2586439,1SDA073126R1
888888,1SDA073171R1
2586335,1SDA072566R1
2586332,1SDA072563R1
2586436,1SDA073123R1
2586329,1SDA072506R1
888888,1SDA073544R1
2586438,1SDA073125R1
2586334,1SDA072565R1
2586326,1SDA072503R1
2586763,1SDA072556R1
2586331,1SDA072562R1
2586435,1SDA073122R1
2586213,1SDA071776R1
2586956,1SDA072553R1
2586333,1SDA072564R1
2586210,1SDA071773R1
2586804,1SDA072555R1
2586437,1SDA073124R1
2586328,1SDA072505R1
888888,1SDA072554R1
2586434,1SDA073121R1
2586330,1SDA072561R1
2586955,1SDA072552R1
2586327,1SDA072504R1
2586325,1SDA072502R1
2586212,1SDA071775R1
888888,1SDA072551R1
2586433,1SDA073046R1
888888,1SDA073460R1
2586430,1SDA073043R1
888888,1SDA071206R1
2586324,1SDA072501R1
2586211,1SDA071774R1
2586209,1SDA071772R1
888888,1SDA071203R1
2586810,1SDA072546R1
888888,1SDA072543R1
888888,1SDA071205R1
2586691,1SDA072545R1
2586208,1SDA071771R1
888888,1SDA071204R1
888888,1SDA071202R1
2586845,1SDA072544R1
2586922,1SDA072542R1
888888,1SDA071201R1
888888,1SDA072541R1
2586429,1SDA073042R1
888888,1SDA071196R1
2586432,1SDA073045R1
888888,1SDA071193R1
2586428,1SDA073041R1
2586431,1SDA073044R1
2586921,1SDA071195R1
2586701,1SDA073541R1
2586207,1SDA071696R1
2586903,1SDA071194R1
2586863,1SDA071192R1
2586204,1SDA071693R1
2586939,1SDA071191R1
2586206,1SDA071695R1
2586205,1SDA071694R1
2586697,1SDA073457R1
888888,1SDA073421R1
2586203,1SDA071692R1
2586700,1SDA073537R1
2586427,1SDA073016R1
2586323,1SDA072496R1
2586696,1SDA073453R1
2586320,1SDA072493R1
2586424,1SDA073013R1
2586108,1SDA071146R1
2586202,1SDA071691R1
2586311,1SDA072396R1
2586105,1SDA071143R1
2586421,1SDA073006R1
2586426,1SDA073015R1
2586308,1SDA072393R1
2586418,1SDA073003R1
2586322,1SDA072495R1
2586321,1SDA072494R1
2586201,1SDA071666R1
2586319,1SDA072492R1
2586317,1SDA072416R1
2586425,1SDA073014R1
2586198,1SDA071663R1
2586423,1SDA073012R1
2586107,1SDA071145R1
2586318,1SDA072491R1
2586310,1SDA072395R1
2586420,1SDA073005R1
2586314,1SDA072413R1
2586096,1SDA071046R1
2586195,1SDA071656R1
2586106,1SDA071144R1
2586104,1SDA071142R1
2586093,1SDA071043R1
2586192,1SDA071653R1
2586419,1SDA073004R1
2586102,1SDA071066R1
2586307,1SDA072392R1
2586417,1SDA073002R1
2586309,1SDA072394R1
2586200,1SDA071665R1
2586103,1SDA071141R1
2586099,1SDA071063R1
2586699,1SDA073502R1
2586199,1SDA071664R1
2586197,1SDA071662R1
2586095,1SDA071045R1
2586194,1SDA071655R1
2586316,1SDA072415R1
2586306,1SDA072391R1
2586416,1SDA073001R1
2586305,1SDA072386R1
2586422,1SDA073011R1
2586094,1SDA071044R1
2586299,1SDA072376R1
2586193,1SDA071654R1
2586092,1SDA071042R1
2586315,1SDA072414R1
